variety,modal,sentence,a1sense,a2sense,a3sense,tag,original sentence
CanadianEnglish,may,well it may be true about peeing but the rest is a private matter between ourselves and the sea isn't it,epistemic,epistemic,epistemic,<ICE-CAN:W2F-008#26:1>,"well it may be true about peeing but the rest is a private matter
 
 between ourselves and the sea isn't it? </p>
 
 <p> "
CanadianEnglish,may,A maximum of credits may be transferred to the Master Magisteriate of Applied Science programme,concessive,epistemic,epistemic,<ICE-CAN:W2D-003#87:1>,"A maximum of 9 credits may be transferred to the Master /
 
 Magisteriate of Applied Science programme. </p>
 
 <p> "
CanadianEnglish,may,Both sides in the battle are playing their cards close to their chests un willing to predict when the fight may end,epistemic,epistemic,epistemic,<ICE-CAN:W2C-001#83:9>,"Both sides in the battle are playing their cards close to their
 
 chests, un <l> willing to predict when the fight may end. </p>
 
 <p> "
CanadianEnglish,may,You may want to talk about this to a UI agent bringing in any new information you have and making sure that you understand why the decision was made,epistemic,epistemic,epistemic,<ICE-CAN:W2D-001#143:1>,"You may want to talk about this to a UI agent, bringing in any new
 
 information you have and making sure that you understand why the decision was
 
 made. </p>
 
 <p> "
CanadianEnglish,may,In certain cases the nonrenewal of a contract or the failure to recall the employee to work may constitute a dismissal,epistemic,epistemic,epistemic,<ICE-CAN:W2D-004#72:1>,"In certain cases, the non-renewal of a contract or the failure to
 
 recall the employee to work may constitute a dismissal. </p>
 "
CanadianEnglish,may,McGreevy said that the technology may be used on a manned mission to Mars that NASA hopes to undertake by the year,epistemic,epistemic,epistemic,<ICE-CAN:W2B-039#73:2>,"McGreevy said that the technology may be used on a manned mission
 
 to Mars that NASA hopes to undertake by the year 2019.
 "
CanadianEnglish,may,I wish I may I wish I might had not been so dumb tonight,epistemic,x,epistemic,<ICE-CAN:W2F-001#43:1>,""" I wish I may, I wish I might, had not been so dumb tonight.""
 
 </p>
 
 <p> "
CanadianEnglish,may,If you do not meet the minimum residence requirements to qualify for a benefit under the Canadian legislation you may possibly qualify by virtue of an International agreement on Social Security,epistemic,epistemic,epistemic,<ICE-CAN:W2D-009#X100:1>,"If you do not meet the minimum residence requirements to
 
 qualify for a benefit under the Canadian legislation, you may possibly
 
 qualify by virtue of an International agreement on Social Security. </p>
 "
CanadianEnglish,may,There are other films in the stack of tin boxes kept in a cupboard to one side of the low platform travelogues from Norway temper ance films home movies of missionaries in China or Africa in which white women in round eyeglasses and stout shoes and sly native coworkers yellow or black as the case may be stand together or walk about in dumbshow dumb show conversation for long minutes,epistemic,epistemic,epistemic,<ICE-CAN:W2F-013#8:1>,"There are other films in the stack of tin boxes kept in a cupboard
 
 to one side of the low platform: travelogues from Norway, temper <l> ance
 
 films, home movies of missionaries in China or Africa in which white women in
 
 round eyeglasses and stout shoes and sly native co-workers, yellow or black
 
 as the case may be, stand together or walk about in <}> <-> dumbshow </-> <+>
 
 dumb show </+> </}> conversation for long minutes. </p>
 
 <p> "
CanadianEnglish,may,I think Steve should straighten this out and send out another announcement but given everything that is happening in his life right now that may be a bit too much to ask,epistemic,epistemic,epistemic,<ICE-CAN:W1B-014#101:2>,"I think <@> Steve </@> should straighten this out and send out
 
 another announcement - but given everything that is happening in his life
 
 right now, that may be a bit too much to ask!
 "
CanadianEnglish,must,However once those formali ties are seen through one must also settle the estate of the deceased,deontic,deontic,deontic,<ICE-CAN:W2E-006#97:6>,"However, once those formali <l> ties are seen through, one must
 
 also settle the estate of the deceased.
 "
CanadianEnglish,must,Dad's ruined mouth by contrast must have felt pretty immediate to him like an arm ripped off or an open sucking wound of the chest wall,epistemic,epistemic,epistemic,<ICE-CAN:W2F-014#16:1>,"Dad's ruined mouth, by contrast, must have felt pretty immediate to
 
 him: like an arm ripped off or an open sucking wound of the chest wall.
 "
CanadianEnglish,must,It must be nice driving alone in your own car without worrying about some joker drooling on your shoulder pads,epistemic,epistemic,epistemic,<ICE-CAN:W2F-018#40:1>,""" It must be nice driving alone in your own car, without worrying
 
 about some joker drooling on your shoulder pads."" </p>
 
 <p> "
CanadianEnglish,must,During each move we must keep in mind the balance criterion to prevent all buses from migrating to one cluster of the partition for that would surely be the best partition were balance to be ignored,deontic,deontic,deontic,<ICE-CAN:W2A-036#X108:1>,"During each move, we must keep in mind the balance criterion to
 
 prevent all buses from migrating to one cluster of the partition, for that
 
 would surely be the best partition, were balance to be ignored.
 "
CanadianEnglish,must,To treat LeschNyhan syndrome gene therapists must overcome the huge obstacle of effectively delivering genes into brain cells,deontic,deontic,deontic,<ICE-CAN:W2B-025#85:1>,"To treat Lesch-Nyhan syndrome, gene therapists must overcome the huge
 
 obstacle of effectively delivering genes into brain cells.
 "
CanadianEnglish,must,These conditions of employment must not be less than those provided for under the labour standards even if a collective agreement or decree exists subject to a deroga tion permitted by the Act,deontic,deontic,deontic,<ICE-CAN:W2D-004#65:1>,"These conditions of employment must not be less than those provided
 
 for under the labour standards even if a collective agreement or decree
 
 exists, subject to a deroga <l> tion permitted by the Act. </p>
 "
CanadianEnglish,must,The employer is not required to continue wage payments during sick leave but must maintain contributions to health and disability benefit plans in at least the same proportion as if the employee were at work,deontic,deontic,deontic,<ICE-CAN:W2D-008#84:1>,"The employer is not required to continue wage payments during sick
 
 leave but must maintain contributions to health and disability benefit plans
 
 in at least the same proportion as if the employee were at work. </p>
 "
CanadianEnglish,must,In your next communication you must tell what you're doing exactly and where you've been during the past year,deontic,deontic,deontic,<ICE-CAN:W1B-015#95:3>,"In your next communication you must tell what you're doing exactly
 
 and where you've been during the past year. </p>
 
 <p> "
CanadianEnglish,must,She waits until her bosom must have made The bar she leaned on warm Rossetti,epistemic,epistemic,x,<ICE-CAN:W1A-008#55:1>,"She waits <quote> "" until her bosom must have made / The bar she
 
 leaned on warm"" </quote> ( Rossetti 45-46).
 "
CanadianEnglish,must,It treats time as a fleeting force so one must sieze seize life love and its enjoyments before it is too late,deontic,deontic,deontic,<ICE-CAN:W1A-014#89:1>,"It treats time as a fleeting force, so one must <}> <-> sieze </->
 
 <+> seize </+> </}> life, love and its enjoyments before it is too late.
 "
CanadianEnglish,must,The poet asks who would weep for those who die in the service of their empire and we must answer that unclear word no one would weep for the passing of the empire or very few but we should weep for the senseless loss of young lives so needlessly wasted,deontic,deontic,deontic,<ICE-CAN:W1A-018#62:1>,"The poet asks who would weep for those who die in the service of
 
 their empire, and we must answer that <del> <unclear> unclear word </unclear>
 
 </del> no one would weep for the passing of the empire ( or very few) but we
 
 should weep for the senseless loss of young lives, so needlessly wasted.
 "
CanadianEnglish,must,If there is a peg underneath the hole the bird must either make an awkward movement onto it before fly ing away or risk damaging its undercarriage as it begins its dive,deontic,deontic,deontic,<ICE-CAN:W2D-013#32:1>,"If there is a peg underneath the hole the bird must either make an
 
 awkward movement onto it before fly <l> ing away or risk damaging its
 
 under-carriage as it begins its dive. </p>
 
 <p> "
CanadianEnglish,must,You must be very proud I said to him,epistemic,epistemic,epistemic,<ICE-CAN:W2F-016#43:1>,""" You must be very proud,"" I said to him. </p>
 
 <p> "
CanadianEnglish,must,Flo is against the wedding but in the end realizes she must stick with her brothers,deontic,deontic,deontic,<ICE-CAN:W1A-017#17:1>,"Flo is against the wedding but in the end realizes she must stick
 
 with her brothers.
 "
CanadianEnglish,must,It's not right that families must pay to change their misspelled Inuit names to the correct spelling says MLA Peter Ernerk Aivilik,deontic,deontic,deontic,<ICE-CAN:W2C-004#11:2>,"It's not right that families must pay to change their misspelled
 
 Inuit names to the correct spelling, says MLA Peter Ernerk ( Aivilik) </p> .
 
 <p> "
CanadianEnglish,must,Gardenias must be in constant growth to be able to bloom freely,deontic,deontic,deontic,<ICE-CAN:W2B-023#71:2>,"Gardenias must be in constant growth to be able to bloom freely.
 "
CanadianEnglish,must,By Allah I swear that fellow must have had a computer in his head,epistemic,epistemic,epistemic,<ICE-CAN:W1B-011#97:1>,"By Allah, I swear that fellow must have had a computer in his head.
 "
CanadianEnglish,must,She briefly explained what a library was There is an archival func tion of course where we must preserve our body of knowledge our culture from the infidels,deontic,deontic,deontic,<ICE-CAN:W2F-006#93:1>,"She briefly explained what a library was: "" There is an archival func
 
 <l> tion, of course, where we must preserve our body of knowledge, our
 
 culture, from the infidels.
 "
CanadianEnglish,must,At the end of each period the merchant if he has a claim with regard to a consumer must furnish the latter with a statement of account mailed at least days before the date on which he may exact credit charges if the consumer does not discharge his entire obligation credit charges for advances of money may start as of the date of the advance up until the date of payment,deontic,deontic,deontic,<ICE-CAN:W2D-010#92:1>,"At the end of each period, the merchant, if he has a claim with
 
 regard to a consumer, must furnish the latter with a statement of account
 
 mailed at least <bold> 21 </bold> days before the date on which he may exact
 
 credit charges if the consumer does not discharge his entire obligation;
 
 credit charges for advances of money may start as of the date of the advance
 
 up until the date of payment.
 "
CanadianEnglish,must,A shape descriptor must be translation rotation and scaleinvariant in order to be appropriate for many recognition and classification tasks,deontic,deontic,deontic,<ICE-CAN:W2A-035#76:1>,"A shape descriptor must be translation-, rotation- and
 
 scale-invariant in order to be appropriate for many recognition and
 
 classification tasks.
 "
CanadianEnglish,could,Besides it contains exemptions that could provide loopholes for those who deal in forbidden materials,epistemic,epistemic,dynamic,<ICE-CAN:W2E-002#49:4>,"Besides, it contains exemptions that could provide loopholes for
 
 those who deal in forbidden materials. </p>
 
 <p> "
CanadianEnglish,could,She is not one of those women who could just forgive and forget,dynamic,dynamic,dynamic,<ICE-CAN:W2F-003#221:1>,"She is not one of those women who could just forgive and forget.""
 
 </p>
 
 <p> "
CanadianEnglish,could,Maybe we want to wait to see if there would be additional money to be added to the dollar and we could arrange an interdepartmental transfer later,epistemic,epistemic,epistemic,<ICE-CAN:W1B-029#82:8>,"Maybe we want to wait to see if there would be additional money to be
 
 added to the &dollar;17.95, and we could arrange an interdepartmental
 
 transfer later? </p>
 
 <p> "
CanadianEnglish,could,Says Gordon Kijek director of an Edmontonbased group that studies reports of unidentified flying objects We could end up tomorrow with a group stepping forward and saying 'We did it and here's how we did it',epistemic,epistemic,epistemic,<ICE-CAN:W2B-027#97:3>,"Says Gordon Kijek, director of an Edmonton-based group that studies
 
 reports of unidentified flying objects: <quote> "" We could end up tomorrow
 
 with a group stepping forward and saying, 'We did it, and here's how we did
 
 it.' "" </quote>
 "
CanadianEnglish,could,If biotechnology has the capacity to do irrevocable damage to humans or their surroundings retroactive enforcement through punish ment could be irrelevant,epistemic,epistemic,epistemic,<ICE-CAN:W2A-024#45:1>,"If biotechnology has the capacity to do irrevocable damage to humans
 
 or their surroundings, retroactive enforcement through punish <l> ment could
 
 be irrelevant.
 "
CanadianEnglish,could,Thorough management will solve the problem whereas inaction could mean the extinction of wood buffalo,epistemic,epistemic,epistemic,<ICE-CAN:W2B-027#X27:1>,"<quote> "" Thorough management will solve the problem, whereas
 
 inaction could mean the extinction of wood buffalo."" </quote> </X> </p>
 
 <p> "
CanadianEnglish,could,But Duffield isn't pretentious he knows that in spite of his obvious ability he may not be a full time player in what could be Con U rugby's finest season ever,epistemic,epistemic,epistemic,<ICE-CAN:W2C-009#36:2>,"But Duffield isn't pretentious, he knows that in spite of his
 
 obvious ability, he may not be a full time player in what could be Con U
 
 rugby's finest season ever.
 "
CanadianEnglish,could,Invasion could be seen as an immediate threat and compulsory military training could be presented as simply the most effective form of home defence,epistemic,dynamic,epistemic,<ICE-CAN:W2A-002#114:1>,"Invasion could be seen as an immediate threat and compulsory
 
 military training could be presented as simply the most effective form of
 
 home defence.
 "
CanadianEnglish,could,They could be anyone,dynamic,epistemic,epistemic,<ICE-CAN:W2F-004#82:1>,"They could be anyone.
 "
CanadianEnglish,could,Although the Winnipeg Ballet it picked up the useful Royal title in can trace its formal origins to it could not call itself fully professional until a decade later,dynamic,dynamic,dynamic,<ICE-CAN:W2B-001#19:1>,"Although the Winnipeg Ballet ( it picked up the useful "" Royal"" title
 
 in 1953) can trace its formal origins to 1939 it could not call itself fully
 
 professional until a decade later.
 "
CanadianEnglish,could,A job at the same institution could be available for a spouse having a background in one of the following agriculture dryland farming systems agroforestry onfarm research animal husbandry community development or water management,epistemic,epistemic,epistemic,<ICE-CAN:W2D-006#54:1>,"A job at the same institution could be available for a spouse
 
 having a background in one of the following: agriculture, dryland farming
 
 systems, agro-forestry, on-farm research, animal husbandry, community
 
 development, or water management. </p>
 "
CanadianEnglish,could,Then a young biologist Dave Evers working out of Whitefish Point Bird Observatory on Lake Superior fashioned a tech nique for catching loons to colourband them so that in dividuals could be recognized,dynamic,dynamic,dynamic,<ICE-CAN:W2B-026#103:1>,"Then a young biologist, Dave Evers, working out of Whitefish Point
 
 Bird Observatory on Lake Superior, fashioned a tech <l> nique for catching
 
 loons to colour-band them so that in <l> dividuals could be recognized.
 "
CanadianEnglish,could,After all years of communism could hardly have led to privileged access to the inner sanctums of religious extremism,dynamic,epistemic,epistemic,<ICE-CAN:W1B-011#10:1>,"After all, 70 years of communism could hardly have led to privileged
 
 access to the inner sanctums of religious extremism.
 "
CanadianEnglish,could,Roy added that if Simpson's findings are widely verified he could be in line for the Nobel Prize in physics which is awarded annually to scientists who achieve major breakthroughs,epistemic,epistemic,epistemic,<ICE-CAN:W2B-028#63:2>,"Roy added that if Simpson's findings are widely verified, he
 
 could be in line for the Nobel Prize in physics, which is awarded annually to
 
 scientists who achieve major breakthroughs.
 "
CanadianEnglish,could,He could like Mulroney create an entire myth about poor humiliated Quebec left out in,dynamic,epistemic,dynamic,<ICE-CAN:W2E-003#11:1>,"He could, like Mulroney, create an entire myth about poor, humiliated
 
 Quebec left out in 1981.
 "
CanadianEnglish,could,Even the authoritarian Lord Milner admitted in a speech to the Kensington branch of the National Service League that conscription could not become a reality unless a majority of the population supported it Lord Milner National Service Speech given at meeting of the Kensington Branch of the National Service League Mar Viscount Milner The Nation and the Empire London p,dynamic,dynamic,epistemic,<ICE-CAN:W2A-002#23:1>,"Even the authoritarian Lord Milner admitted in a 1907 speech to the
 
 Kensington branch of the National Service League that conscription could not
 
 become a reality unless a majority of the population supported it."" <sp> 113
 
 </sp> <footnote> 113 Lord Milner, <quote> "" National Service."" </quote>
 
 Speech given at meeting of the Kensington Branch of the National Service
 
 League, 15 Mar. 1907. Viscount Milner, <it> The Nation and the Empire </it> (
 
 London, 1913), p. 169. </footnote>
 "
CanadianEnglish,could,They did not like a twelveyearold girl making a tree house in her front yard where everyone could see,dynamic,dynamic,dynamic,<ICE-CAN:W2F-020#60:1>,"They did not like a twelve-year-old girl making a tree house in her
 
 front yard where everyone could see.
 "
CanadianEnglish,could,The photograph Elm Chapel Street Woodstock Carleton Co New Brunswick could depict a street in any number of towns in North America,epistemic,epistemic,dynamic,<ICE-CAN:W2A-007#108:1>,"The photograph, <it> Elm ( Chapel Street) Woodstock, Carleton
 
 Co, New Brunswick </it> , could depict a street in any number of towns in
 
 North America.
 "
CanadianEnglish,could,This is well worth doing but unbridled democracy alone could easily become a cure worse than the disease,epistemic,epistemic,epistemic,<ICE-CAN:W2E-010#29:1>,"This is well worth doing, but unbridled democracy alone could
 
 easily become a cure worse than the disease.
 "
CanadianEnglish,could,How you handle your responsibilities could affect your claim to benefits,epistemic,epistemic,epistemic,<ICE-CAN:W2D-001#126:1>,"How you handle your responsibilities could affect your claim to
 
 benefits.
 "
CanadianEnglish,can,Since each different context is associated with a particular targetline location subjects can use the distinctive appearance of individual contexts as a basis for inferring which target line has been presented,dynamic,dynamic,dynamic,<ICE-CAN:W2A-012#33:1>,"Since each different context is associated with a particular
 
 target-line location, subjects can use the distinctive appearance of
 
 individual contexts as a basis for inferring which target line has been
 
 presented.
 "
CanadianEnglish,can,Try keeping them in a bright area until they can be safely planted into a sunny part of the garden where they may bloom again at summer's end without any special treatment,dynamic,dynamic,concessive,<ICE-CAN:W2B-023#60:2>,"Try keeping them in a bright area until they can be safely planted
 
 into a sunny part of the garden where they may bloom again at summer's end
 
 without any special treatment. </p>
 "
CanadianEnglish,can,However I hope that all of us can dine together Friday night,dynamic,epistemic,epistemic,<ICE-CAN:W1B-016#22:2>,"However, I hope that all of us can dine together Friday night.
 "
CanadianEnglish,can,As long as the indifferent docile and gullible mass can be kept thinking in such idiotic stereotypes of course governments can continue to swell and bloat and push everybody around which is the unhealthy first instinct of all large bureaucracies everywhere,dynamic,dynamic,dynamic,<ICE-CAN:W2E-010#9:1>,"As long as the indifferent, docile and gullible mass can be kept
 
 thinking in such idiotic stereotypes, of course, governments can continue to
 
 swell and bloat and push everybody around, which is the unhealthy first
 
 instinct of all large bureaucracies everywhere.
 "
CanadianEnglish,can,Having the blessing of Condeacute Nast a magazine based in New York and aimed at affluent travellers one can expect more tourists coming from more distant places,dynamic,dynamic,dynamic,<ICE-CAN:W2B-011#42:1>,"Having the blessing of <it> Cond&eacute; Nast </it> , a magazine
 
 based in New York and aimed at affluent travellers, one can expect more
 
 tourists coming from more distant places. </p>
 
 <p> "
CanadianEnglish,can,Alberta is hundreds of kilometres from the sources hence only limited amounts of finegrained tephra can be found,dynamic,epistemic,dynamic,<ICE-CAN:W2A-027#19:1>,"Alberta is hundreds of kilometres from the sources; hence only
 
 limited amounts of fine-grained tephra can be found.
 "
CanadianEnglish,can,And to top it off I have a boss who can produce a oneinch thick stack of printed email messages each representing a request to the PC support supervisor,dynamic,dynamic,dynamic,<ICE-CAN:W2B-033#17:1>,"And to top it off, I have a boss who can produce a one-inch thick
 
 stack of printed e-mail messages each representing a request to the PC
 
 support supervisor. </p>
 
 <p> "
CanadianEnglish,can,The system peak load carrying capability PLCC which is the peak load that a system can carry at a specified system risk index is also very dependent on the generating unit FOR values,dynamic,dynamic,dynamic,<ICE-CAN:W2A-038#36:1>,"The system peak load carrying capability ( PLCC), which is the peak
 
 load that a system can carry at a specified system risk index, is also very
 
 dependent on the generating unit FOR values.
 "
CanadianEnglish,can,Ldelta and Hdelta can be determined empirically by examining the histogram distribution of image PCD j and ave is the average pixel value in image PCD j,dynamic,dynamic,dynamic,<ICE-CAN:W2A-033#80:1>,"L&delta; and H&delta; can be determined empirically by examining the
 
 histogram distribution of image PCD <sb> j </sb> , and ave is the average
 
 pixel value in image PCD <sb> j </sb> .
 "
CanadianEnglish,can,You can make this a sim ple task by designing a birdhouse that opens easily as will a pinned front as seen in Figure,dynamic,dynamic,dynamic,<ICE-CAN:W2D-013#51:1>,"You can make this a sim <l> ple task by designing a birdhouse that
 
 opens easily, as will a pinned front as seen in Figure 3. </p>
 
 <p> "
CanadianEnglish,can,There is a vital implication here for all commercial theatres that private and nonprofit sectors can fuse successfully on projects,dynamic,epistemic,dynamic,<ICE-CAN:W2B-006#X83:3>,"<quote> "" There is a vital implication here for all commercial
 
 theatres that private and nonprofit sectors can fuse successfully on
 
 projects."" </quote> </X> </p>
 
 <p> "
CanadianEnglish,can,Here he can touch the hand of the intellectual creative spirit,dynamic,dynamic,dynamic,<ICE-CAN:W2E-006#37:3>,"Here he can touch the hand of the intellectual creative spirit. </p>
 
 <p> "
CanadianEnglish,can,All position qualifications are determined by the host country and can be gender specific,epistemic,epistemic,dynamic,<ICE-CAN:W2D-006#25:1>,"All position qualifications are determined by the host country and
 
 can be gender specific. </p>
 "
CanadianEnglish,can,Birdhouses can be designed to encourage specific species of birds and discourage others,epistemic,dynamic,dynamic,<ICE-CAN:W2D-013#37:1>,"Birdhouses can be designed to encourage specific species of birds
 
 and discourage others.
 "
CanadianEnglish,can,That is we might think that the argument against the imagination already leaves us as badly off as we can be,epistemic,epistemic,epistemic,<ICE-CAN:W2A-006#118:1>,"That is, we might think that the argument against the imagination
 
 already leaves us as badly off as we can be.
 "
CanadianEnglish,can,Our IS function such that it is simply is facing more demands than it can satisfy,dynamic,dynamic,dynamic,<ICE-CAN:W2B-033#20:1>,"Our IS function, such that it is, simply is facing more demands
 
 than it can satisfy.
 "
CanadianEnglish,can,In a department store or a large con vention we can pick and choose accord ing to our interests,dynamic,dynamic,dynamic,<ICE-CAN:W2A-014#59:2>,"In a department store, or a large con <l> vention, we can pick
 
 and choose accord <l> ing to our interests.
 "
CanadianEnglish,can,we would like to move inner city one day if we can manage it and ran some errands,dynamic,dynamic,dynamic,<ICE-CAN:W1B-009#36:1>,"( we would like to move inner city one day if we can manage it) and
 
 ran some errands. </p>
 
 <p> "
CanadianEnglish,can,The decay of the veteran should mark the decay of loyalty to the British Empire so that the West Indies can build their own nationalist feeling and identity end of paragraph,dynamic,dynamic,dynamic,<ICE-CAN:W1A-016#104:2>,"The decay of the veteran should mark the decay of loyalty to the
 
 British Empire so that the West Indies can build their own nationalist
 
 feeling and identity. <O> end of paragraph <O> </p> </I>
 <I>
 
 <p> "
CanadianEnglish,can,There is nothing I can prove but I've always had a notion that as I lay in my momma's womb I was as unwritten upon as a tiny tabula rasa until Kablam the lightning hit and cursed blessed me with my tremor my assorted creative tal ents and my name Jubilee Hightower,dynamic,dynamic,dynamic,<ICE-CAN:W2F-020#24:1>,"There is nothing I can prove, but I've always had a notion that as I
 
 lay in my momma's womb I was as unwritten upon as a tiny <foreign> <it>
 
 tabula rasa </it> </foreign> until Kablam! – the lightning hit and cursed /
 
 blessed me with my tremor, my assorted creative tal <l> ents, and my name,
 
 Jubilee Hightower.
 "
CanadianEnglish,should,One of the great shibboleths of all time is that a birdhouse should have a peg for a perch on its front end,epistemic,x,deontic,<ICE-CAN:W2D-013#25:1>,"One of the great shibboleths of all time is that a birdhouse
 
 should have a peg for a perch on its front end.
 "
CanadianEnglish,should,Do you think I should fly to Chicago,deontic,deontic,deontic,<ICE-CAN:W2F-003#96:1>,"Do you think I should fly to Chicago?"" </p>
 
 <p> "
CanadianEnglish,should,The outcome of these two trends should be of great interest to students of the Canadian constitution,epistemic,epistemic,deontic,<ICE-CAN:W2A-019#29:1>,"The outcome of these two trends should be of great interest to
 
 students of the Canadian constitution.
 "
CanadianEnglish,should,Further the test should not be an ESL test,deontic,deontic,deontic,<ICE-CAN:W1B-030#24:4>,"Further, 1) the test should not be an ESL test.
 "
CanadianEnglish,should,By leaving her loom she leaves behind the traditional space that she should occupy and goes against social convention,deontic,deontic,deontic,<ICE-CAN:W1A-008#63:1>,"By leaving her loom, she leaves behind the traditional space that she
 
 should occupy and goes against social convention.
 "
CanadianEnglish,should,They should have allowed the whole hour to the Liberal meeting,deontic,deontic,deontic,<ICE-CAN:W2E-004#77:6>,"They should have allowed the whole hour to the Liberal meeting. </p>
 
 <p> "
CanadianEnglish,should,Last year the city initiated a consultation process to decide what kind of housing should be built on the armoury's acres of land just north of downtown,deontic,deontic,deontic,<ICE-CAN:W2C-020#126:7>,"Last year the city initiated a consultation process to decide what
 
 kind of housing should be built on the armoury's 11 acres of land, just north
 
 of downtown.
 "
CanadianEnglish,should,Once programmed an analyzer should compensate for color shifts caused by myriad factors shooting under different lighting conditions using different enlarger mixing boxes or different bulbs bulb aging a whitelight lever that doesn't always return dichroic filters to the same position enlarger lenses with slightly different color cor rection and much more,deontic,deontic,deontic,<ICE-CAN:W2B-035#44:1>,"Once programmed, an analyzer should compensate for color shifts
 
 caused by myriad factors: shooting under different lighting conditions, using
 
 different enlarger mixing boxes or different bulbs, bulb aging, a white-light
 
 lever that doesn't always return dichroic filters to the same position,
 
 enlarger lenses with slightly different color cor <l> rection, and much more.
 
 </p>
 
 <p> "
CanadianEnglish,should,You cannot draw UI benefits during the time covered by this pay but you should apply as soon as you have officially left your job,deontic,deontic,deontic,<ICE-CAN:W2D-001#87:1>,"You cannot draw UI benefits during the time covered by this pay, but
 
 you should apply as soon as you have officially left your job. </p>
 
 <p> "
CanadianEnglish,should,Please contact me to tell me whether I should mail the letter and cheque back to you,deontic,deontic,deontic,<ICE-CAN:W1B-028#94:8>,"Please contact me to tell me whether I should mail the letter and
 
 cheque back to you.
 "
CanadianEnglish,should,In Stalking the Exotic Bean Dan Jason explains why we should be growing the fava and gives us a taste of how to do it,deontic,deontic,deontic,<ICE-CAN:W2B-023#22:1>,"In <it> Stalking the Exotic Bean </it> , Dan Jason explains why we
 
 should be growing the fava, and gives us a taste of how to do it. </p>
 
 <p> "
CanadianEnglish,should,And you look pale we have a sunny courtyard where you should walk during your lunch hour,deontic,deontic,deontic,<ICE-CAN:W2F-006#91:1>,"And you look pale; we have a sunny courtyard where you should walk
 
 during your lunch hour."" </p>
 
 <p> "
